======================================================================
Live Timing 性能分析報告 - PKL 載入 - 2025 Qatar
生成時間: 2025-12-10 12:21:05
======================================================================


📊 累計時間排名 (Top 30)
----------------------------------------------------------------------
Wed Dec 10 12:21:05 2025    reports\profiling\live_timing_load_2025_Qatar_20251210_122103.prof

         2282828 function calls (2245070 primitive calls) in 2.174 seconds

   Ordered by: cumulative time
   List reduced from 7680 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   156619    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
      227    0.015    0.000    0.047    0.000 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\site-packages\matplotlib\artist.py:1433(get_aliases)
     1501    0.013    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
135468/135467    0.013    0.000    0.016    0.000 {built-in method builtins.isinstance}
101283/100851    0.013    0.000    0.013    0.000 {built-in method builtins.getattr}
     2590    0.013    0.000    0.145    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      472    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
   116386    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
 1201/362    0.012    0.000    0.031    0.000 C:\Users\mike\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
   100140    0.012    0.000    0.012    0.000 {built-in method builtins.min}
    10293    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}


