Point_Index,VER_X,VER_Y,NOR_X,NOR_Y,Euclidean_Distance_m,VER_Track_Distance,NOR_Track_Distance,Track_Distance_Gap_m,VER_Speed,NOR_Speed,Distance_Leader
287,-5841.255040595602,-1554.9037243433854,-5781.0,-1854.0,305.10531301312204,2511.903611111111,2492.7139115768655,19.189699534245392,183.0,161.84999679999999,VER
288,-5853.68359561558,-1498.8237842349247,-5789.685847569533,-1797.3387340229283,305.2980298035015,2520.3924999999995,2498.5875000000005,21.804999999998927,191.0,168.0,VER
289,-5865.0,-1447.0,-5796.0,-1762.0,322.4686031228467,2529.849788634463,2502.3489059219314,27.50088271253162,193.64,170.59999573333334,VER
290,-5867.231984580929,-1436.7673386416247,-5811.473635388024,-1689.847948464209,259.1501274799782,2531.1702777777773,2510.320833333334,20.84944444444318,194.0,176.0,VER
291,-5906.0,-1259.0,-5819.0,-1656.0,406.4209640262175,2549.3356964217005,2513.2627552555077,36.07294116619278,206.8375,178.47687435772227,VER
292,-5906.463360867993,-1256.8781203011615,-5857.97906246532,-1477.586277536056,225.97083409507172,2549.5702777777774,2524.9952777777785,24.57499999999891,207.0,188.0,VER
293,-5931.0,-1144.0,-5864.0,-1450.0,313.2491021535417,2561.164579828379,2526.999850098698,34.16472972968086,212.909545838136,189.6958304,VER
294,-5931.53697769976,-1141.5052523208046,-5889.628821807741,-1333.250789585651,196.27186398272792,2561.344444444444,2538.2619444444454,23.082499999998618,213.0,199.0,VER
295,-5964.0,-990.0,-5905.775607730836,-1260.0405313920546,276.2462098375591,2570.8709592692076,2549.7063888888897,21.164570380317855,217.70999808,206.0,VER
296,-5970.616711427944,-959.0246291711494,-5915.0,-1217.0,263.90246407402526,2573.511111111111,2556.5285927440086,16.98251836710233,219.0,208.9249984,VER
297,-5982.766688620397,-901.5723676819364,-5921.575609822695,-1185.7298385447846,290.6713201738297,2585.9555555555553,2561.428611111112,24.526944444443416,224.0,211.0,VER
298,-5998.0,-830.0,-5943.0,-1084.0,259.88651369395836,2595.971868286776,2575.7118663462606,20.260001940515394,227.53249856,216.9249984,VER
299,-6047.0,-602.0,-5943.335639813008,-1082.4517003571568,491.50802226317893,2611.6465547309235,2575.8952777777786,35.75127695314495,232.93249856,217.0,VER
300,-6047.509743040048,-599.6644720347135,-5969.492438262425,-963.4560159717943,372.06314959276676,2611.844444444444,2588.2841666666673,23.56027777777672,233.0,223.0,VER
301,-6073.636577891213,-485.2025732664689,-5972.0,-952.0,477.7340594624618,2630.511111111111,2589.3555603180766,41.15555079303431,240.0,223.4250048,VER
302,-6090.0,-406.0,-6015.0,-753.0,355.0126758300329,2639.8380189533336,2607.4163017072005,32.421717246133085,242.156252,230.4250048,VER
303,-6124.038965081336,-233.79236728432917,-6026.904139098569,-696.9911839862972,473.2740413468772,2652.288888888889,2614.173055555556,38.11583333333283,245.0,233.0,VER
304,-6127.0,-219.0,-6043.997147031391,-616.0577843361332,405.6406756020009,2653.5316571108174,2624.750833333334,28.78082377748342,245.3843444576443,238.0,VER
305,-6154.985592874433,-85.3622036100588,-6053.0,-574.0,499.1672637651303,2671.880833333333,2628.5557687540622,43.32506457927093,251.0,238.890628,VER
306,-6161.0,-55.0,-6107.0,-323.0,273.38617375427015,2675.8827882219175,2646.146181780965,29.736606440952528,251.61071634285713,242.953124,VER
