====================================================================================================
Live Timing 性能分析報告
分析時長: 60 秒
====================================================================================================

         17395907 function calls (17380084 primitive calls) in 60.125 seconds

   Ordered by: cumulative time
   List reduced from 716 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      594    0.077    0.000   78.502    0.132 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\threading.py:641(wait)
1799/1523    0.088    0.000   63.317    0.042 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\threading.py:327(wait)
1407/1051    1.748    0.001   55.811    0.053 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\queue.py:180(get)
2805/2234    0.070    0.000   25.972    0.012 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
     5076    0.023    0.000   25.552    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\base_live_mdi.py:149(_handle_snapshot_updated)
   211555   17.046    0.000   17.046    0.000 {built-in method setItem}
     5852    0.125    0.000   15.055    0.003 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\sklearn.py:1745(predict_proba)
     1265    0.025    0.000   13.762    0.011 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:1840(_on_playback_tick)
11716/5858    0.072    0.000   12.574    0.002 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\core.py:710(inner_f)
      153    0.008    0.000   11.589    0.076 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:2031(_on_predictions_ready)
     5858    0.037    0.000   10.169    0.002 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\sklearn.py:1282(predict)
     2926    0.036    0.000   10.047    0.003 C:\Users\mike2\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\overtake_prediction\predictor.py:188(predict)
      423    0.004    0.000    8.696    0.021 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\battle_insight.py:616(_on_snapshot_updated)
     2926    0.031    0.000    8.558    0.003 C:\Users\mike2\OneDrive\Code\F1-data-analyze\CLI_modules\cli\prediction\overtake_prediction\close_combat_predictor.py:153(predict)
      423    0.011    0.000    7.327    0.017 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\battle_insight.py:177(update_snapshot)
   147763    6.642    0.000    6.642    0.000 {built-in method boundingRect}
     1111    0.024    0.000    6.599    0.006 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:373(paintEvent)
12164/12068    0.016    0.000    5.694    0.000 {built-in method builtins.next}
      423    0.004    0.000    5.565    0.013 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\race_control_messages.py:301(_on_snapshot_updated)
      423    0.084    0.000    5.559    0.013 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\race_control_messages.py:142(update_for_lap)
     1111    0.019    0.000    5.471    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:301(paintEvent)
     1111    0.029    0.000    5.412    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:294(paintEvent)
     1111    0.095    0.000    5.346    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:501(_draw_driver_markers)
    22220    0.402    0.000    5.172    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:563(_draw_single_marker)
    11716    0.020    0.000    5.101    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:155(config_context)
    23432    0.041    0.000    4.906    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:106(wrap)
     5858    0.561    0.000    4.211    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\core.py:2540(inplace_predict)
     5858    0.006    0.000    3.415    0.001 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:136(__enter__)
      423    0.005    0.000    3.349    0.008 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\battle_insight.py:189(_update_battles)
      307    0.115    0.000    3.321    0.011 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\battle_insight.py:472(_populate_table)
     5110    3.092    0.001    3.286    0.001 {built-in method setCellWidget}
    11716    0.190    0.000    3.191    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\config.py:115(set_config)
     1111    0.387    0.000    2.923    0.003 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:504(_draw_driver_markers)
   183115    2.875    0.000    2.875    0.000 {built-in method drawText}
     5858    0.017    0.000    2.611    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\site-packages\xgboost\sklearn.py:1269(_get_iteration_range)
     1111    0.296    0.000    2.488    0.002 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:379(_draw_driver_markers)
     5858    0.008    0.000    2.345    0.000 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\contextlib.py:145(__exit__)
    22220    0.355    0.000    2.293    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:612(_draw_pit_bubble)
