====================================================================================================
Live Timing 性能分析報告
分析時長: 60 秒
====================================================================================================

         16466307 function calls (16457301 primitive calls) in 59.907 seconds

   Ordered by: cumulative time
   List reduced from 537 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1871/1870    0.048    0.000   65.027    0.035 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\threading.py:327(wait)
  594/592    0.058    0.000   13.803    0.023 c:\Users\mike2\AppData\Local\Programs\Python\Python313\Lib\threading.py:641(wait)
   255493   12.717    0.000   12.717    0.000 {built-in method boundingRect}
     1921    0.048    0.000   12.660    0.007 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:373(paintEvent)
3104/2879    0.095    0.000   11.151    0.004 {method 'emit' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
     1921    0.039    0.000   10.780    0.006 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:301(paintEvent)
     2204    0.051    0.000   10.596    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\data_manager.py:1842(_on_playback_tick)
     1921    0.055    0.000   10.489    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:294(paintEvent)
     1921    0.177    0.000   10.045    0.005 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:501(_draw_driver_markers)
    38420    0.767    0.000    9.867    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:563(_draw_single_marker)
   112275    8.737    0.000    8.737    0.000 {built-in method setItem}
     2700    0.008    0.000    7.923    0.003 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\core\base_live_mdi.py:149(_handle_snapshot_updated)
     1921    0.748    0.000    5.729    0.003 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:504(_draw_driver_markers)
      225    0.002    0.000    5.501    0.024 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\race_control_messages.py:301(_on_snapshot_updated)
      225    0.087    0.000    5.499    0.024 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\race_control_messages.py:142(update_for_lap)
   288864    5.221    0.000    5.221    0.000 {built-in method drawText}
     1921    0.572    0.000    4.786    0.002 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:379(_draw_driver_markers)
    38420    0.676    0.000    4.365    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:612(_draw_pit_bubble)
    38420    0.478    0.000    4.191    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:590(_draw_flag)
     1921    1.483    0.001    3.647    0.002 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:470(_draw_corner_markers)
    38420    0.505    0.000    3.270    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:643(_draw_flag)
    38420    0.466    0.000    3.169    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:449(_draw_flag_label)
     1921    0.457    0.000    2.621    0.001 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:401(_draw_corner_markers)
     1921    0.397    0.000    2.065    0.001 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\pit_window.py:466(_draw_x_axis)
     1921    0.666    0.000    1.619    0.001 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\track_map.py:371(_draw_track_outline)
   965714    1.526    0.000    1.526    0.000 {built-in method drawLine}
   131257    1.470    0.000    1.470    0.000 {built-in method drawEllipse}
     7756    0.185    0.000    1.118    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\f1t_gui_main.py:4214(paintEvent)
    38420    1.050    0.000    1.050    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:578(_xy_to_angle)
     1921    0.468    0.000    1.040    0.001 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\circle_map.py:378(_draw_track_ring)
      225    0.010    0.000    0.964    0.004 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\ranking_tower.py:1503(_on_snapshot_updated)
      225    0.009    0.000    0.924    0.004 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\ranking_tower.py:477(update_display)
     4500    0.038    0.000    0.907    0.000 C:\Users\mike2\OneDrive\Code\F1-data-analyze\modules\gui\live_timing\live_timing_modules\ranking_tower.py:573(_update_row)
     7756    0.848    0.000    0.848    0.000 {function PopoutSubWindow.paintEvent at 0x0000022164971EE0}
       30    0.002    0.000    0.834    0.028 C:\Users\mike2\OneDrive\Code\F1-data-analyze\performance_monitor_widget.py:622(update_display)
