2025-10-05 02:44:10 | WARNING | f1.console | [ANALYSIS_MANAGER] ⚠️ Not a lap analysis module, skipping: laptime_boxplot_analysis_2278897498832
2025-10-05 02:44:12 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] ========== API 錯誤回調 ==========
2025-10-05 02:44:12 | ERROR | f1.console | [[BOXPLOT_DATA] DEBUG] 錯誤訊息: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000021298E1D6D0>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:44:12 | ERROR | f1.console | [ERROR] [[BOXPLOT_DATA]] API 請求失敗: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/v2/analysis/execute?function_id=28&year=2025&race=Japan&session=R (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000021298E1D6D0>: Failed to establish a new connection: [WinError 10061] 無法連線，因為目標電腦拒絕連線。'))
2025-10-05 02:44:17 | ERROR | f1.console | 🎉 導入錯誤已修復!
2025-10-05 02:44:17 | ERROR | f1.console |    ℹ️  之前會因為 'NameError: name "tr" is not defined' 而失敗
2025-10-05 02:44:17 | ERROR | f1.console | ✅ 不再出現 'NameError: name "tr" is not defined' 錯誤
2025-10-05 02:44:17 | WARNING | f1.console | ⚠️  缺少模組: ['speed_diff', 'distance_diff']
2025-10-05 02:44:19 | ERROR | f1.console | 
❌ 無法連接到 API 伺服器
2025-10-05 02:44:21 | ERROR | f1.console | 
❌ 測試超時
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ confirm_exit_title                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_charts_selected                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_driver_selected                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ module_unavailable                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ track_analysis_unavailable               = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ cannot_find_mdi_area                     = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ cannot_open_window                       = [MISSING]
2025-10-05 02:44:21 | WARNING | f1.console | 
  ⚠️  缺少 7 個翻譯鍵
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ confirm_exit_title                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ✅ analysis_failed                          = 分析失敗
2025-10-05 02:44:21 | WARNING | f1.console |   ✅ warning                                  = 警告
2025-10-05 02:44:21 | ERROR | f1.console |   ✅ error                                    = 錯誤
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_charts_selected                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_driver_selected                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ module_unavailable                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ track_analysis_unavailable               = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ cannot_find_mdi_area                     = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ cannot_open_window                       = [MISSING]
2025-10-05 02:44:21 | WARNING | f1.console | 
  ⚠️  缺少 7 個翻譯鍵
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ confirm_exit_title                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ✅ analysis_failed                          = 分析失敗
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_charts_selected                       = [MISSING]
2025-10-05 02:44:21 | ERROR | f1.console |   ❌ no_driver_selected                       = [MISSING]
