2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 時間: 17:15:47
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 檢查參數: 2025 Australia R VER vs なし L1/L1
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 開始搜尋檔案...
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] ========== 搜尋遙測分析檔案 ==========
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    📅 年份: 2025
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    🏁 賽事: Australia
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    🏁 賽段: R
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    🏎️ 車手1: VER (第1圈)
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    🏎️ 車手2: なし (第1圈)
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 📂 搜尋目錄: ['json', 'json_exports', 'cache']
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 🔄 雙車手檔案搜尋模式:
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    1. comparison_telemetry_VER_なし_2025_Australia_R_Lap1_Lap1.json
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    2. comparison_telemetry_VER_なし_2025_Australia_R_Lap1_Lap*.json
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    3. comparison_telemetry_VER_なし_2025_Australia_R_Lap*_Lap1.json
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG]    4. comparison_telemetry_VER_なし_2025_Australia_R_Lap*_Lap*.json
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 📂 搜尋目錄: json
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 1 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 2 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 3 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 4 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG] ❌ 目錄 json 無匹配檔案
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 📂 搜尋目錄: json_exports
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 1 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 2 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 3 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 4 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG] ❌ 目錄 json_exports 無匹配檔案
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 📂 搜尋目錄: cache
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 1 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 2 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 3 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG]    ❌ 模式 4 無匹配
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG] ❌ 目錄 cache 無匹配檔案
2025-10-06 17:15:47 | ERROR | f1.console | [BRAKE DEBUG] ❌ 未找到符合的JSON檔案，需要生成新檔案
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 繼續等待檔案生成...
2025-10-06 17:15:47 | INFO | f1.console | [BRAKE DEBUG] 下次檢查將在5秒後進行
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] ========== 監控檢查觸發 ==========
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] 時間: 17:15:47
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] 檢查參數: 2025 Australia R VER vs なし L1/L1
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] 開始搜尋檔案...
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] ========== 搜尋遙測分析檔案 ==========
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    📅 年份: 2025
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    🏁 賽事: Australia
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    🏁 賽段: R
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    🏎️ 車手1: VER (第1圈)
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    🏎️ 車手2: なし (第1圈)
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] 📂 搜尋目錄: ['json', 'json_exports', 'cache']
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG] 🔄 雙車手檔案搜尋模式:
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    1. comparison_telemetry_VER_なし_2025_Australia_R_Lap1_Lap1.json
2025-10-06 17:15:47 | INFO | f1.console | [DISTDIFF DEBUG]    2. comparison_telemetry_VER_なし_2025_Australia_R_Lap1_Lap*.json
