2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] � 步驟3: 處理遙測數據
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 🔧 處理遙測數據...
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 差異分析原始數據鍵值: ['distance', 'speed_difference', 'max_diff', 'min_diff', 'mean_diff', 'reference', 'driver1_time_seconds', 'driver2_time_seconds', 'time_reference']
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 距離數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] speed_difference數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 🕒 [SPEEDDIFF] 時間數據: driver1=500 點, driver2=500 點
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 構建差異分析數據結構:
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG]   distance: 500 點
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG]   speed: 500 點
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG]   cumulative_speed_difference: 500 點
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] ✅ Speed Diff Analysis數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG]    X軸(distance)點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG]    差異數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] ✅ 步驟3: API 數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 📊 步驟4: 發送進度和狀態信號
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] ✅ 步驟4: 狀態更新完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 🚀 步驟5: 即將發送 data_loaded 信號
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] 📡 信號接收者數量: 1
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_MDI_DATA] ✅ speeddiff數據載入完成
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_MDI] 更新speeddiff圖表
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] ========== 更新速度差數據 ==========
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 收到數據鍵: ['metadata', 'speeddiff_data', 'statistics']
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] metadata 鍵: ['drivers', 'sectors', 'year', 'race', 'session', 'telemetry_type', 'display_name', 'unit', 'analysis_timestamp', 'data_source', 'api']
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] speeddiff_data 鍵: ['speed', 'cumulative_speed_difference', 'distance', 'speeddiff', 'driver1_name', 'driver2_name', 'reference', 'driver1_time_seconds', 'driver2_time_seconds']
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] statistics 鍵: ['difference', 'distance']
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 車手數量: 2
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 賽道區段: 0
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 參考信息: 
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 距離數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 速度差數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 參考: ALB - ALB
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 🕒 車手1 時間數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 🕒 車手2 時間數據點: 500
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 🔢 提取圈數: lap1=1, lap2=1
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 速度差標籤: ALB vs ALB
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 🎯 使用單一速度差曲線模式
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 📊 更新速度差圖表...
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 動態Y軸範圍: -100.0 到 100.0
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] ✅ 圖表更新完成
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 📋 更新統計表格...
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 📊 統計表格更新 - 收到statistics: {'difference': {'max': 0.0, 'min': 0.0, 'avg': 0.0, 'count': 500}, 'distance': {'min': -0.011575729971559466, 'max': 5317.810040165993, 'total_points': 500}}
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] driver1_stats: {}
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] driver2_stats: {}
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] comparison: {}
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 表格數據行: [('最大速度差 (km/h)', '0.0', '0.0', '0.0'), ('平均速度差 (km/h)', '0.0', '0.0', '0.0'), ('最小速度差 (km/h)', '0.0', '0.0', '0.0')]
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff CHART WIDGET] ✅ 統計表格更新完成
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] 📋 更新狀態資訊...
2025-10-22 23:42:05 | INFO | f1.console | [speeddiff_CHART] ✅ 全部更新完成
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] ✅ 步驟5: data_loaded 信號已發送
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF DEBUG] ========== _handle_api_success 完成 ==========
2025-10-22 23:42:05 | INFO | f1.console | [SPEEDDIFF_LOADER] 🏁 API Worker 執行緒已完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ========== _handle_api_success 開始 ==========
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 📦 data 類型: <class 'dict'>
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 📦 data 鍵值: ['analysis_type', 'metadata', 'results', 'file_info', 'cache_info']
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 數據格式驗證通過
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 步驟1: 數據格式驗證通過
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 📝 步驟2: 設置 metadata
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 步驟2: metadata 設置完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] � 步驟3: 處理遙測數據
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 🔧 處理遙測數據...
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 常規遙測原始數據鍵值: ['name', 'driver1_data', 'driver2_data', 'distance', 'driver1_time_seconds', 'driver2_time_seconds', 'time_reference']
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 距離數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 車手1數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 車手2數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 🕒 [TIME_AXIS_DEBUG] 提取時間數據:
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 🕒 [TIME_AXIS_DEBUG]   driver1_time_seconds 點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 🕒 [TIME_AXIS_DEBUG]   driver2_time_seconds 點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ RPM Analysis數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG]    Distance點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG]    車手1數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG]    車手2數據點數: 500
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 步驟3: API 數據處理完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 📊 步驟4: 發送進度和狀態信號
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] ✅ 步驟4: 狀態更新完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 🚀 步驟5: 即將發送 data_loaded 信號
2025-10-22 23:42:05 | INFO | f1.console | [RPM DEBUG] 📡 信號接收者數量: 1
2025-10-22 23:42:05 | INFO | f1.console | [RPM_MDI_DATA] ✅ RPM數據載入完成
2025-10-22 23:42:05 | INFO | f1.console | [RPM_MDI] 更新RPM圖表
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] ========== 更新RPM數據 ==========
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 收到數據鍵: ['metadata', 'rpm_data', 'statistics']
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] metadata 鍵: ['drivers', 'sectors', 'year', 'race', 'session', 'telemetry_type', 'display_name', 'unit', 'analysis_timestamp', 'data_source', 'api']
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] rpm_data 鍵: ['distance', 'driver1_rpm', 'driver2_rpm', 'driver1_time_seconds', 'driver2_time_seconds', 'driver1_name', 'driver2_name']
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] statistics 鍵: ['driver1', 'driver2', 'distance']
2025-10-22 23:42:05 | INFO | f1.console | [RPM_CHART] 車手數量: 2
