
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 計算範圍，圖表類型: primary
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 可用數據鍵: ['x_data', 'y1
_data', 'y2_data', 'y1_label', 'y2_label', 'title']
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] X軸範圍(圈數): (1, 57)
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 溫度數據: min=15.100, max
=16.600
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 左Y軸範圍(溫度): (14.875, 1
6.825000000000003)
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_RANGE_DEBUG] 邊距: 0.225
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 57.0
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 57
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 14.875 - 16.825
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.325
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:47 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 57.0
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 57
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 14.875 - 16.825
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   間距: 0.325
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   標籤數量: 7
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG] 🎨 自訂座標軸標題繪製
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 X軸座標軸設置:
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 1.0 - 57.0
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   資料點: 57
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   最小間距(px): 48
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG] 📊 Y軸座標軸設置:
2025-10-22 23:45:49 | INFO | f1.console | [RAIN_AXIS_DEBUG]   範圍: 14.875 - 16.825
