2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] ??? 4 ?摰?蝒?銝???嚗?
2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] MDI 撠箏站: 1114x542
2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] 撌虫?閬? (Season Progress - 2025): 853x330 ??371x243
2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] 撌虫?閬? (Race Weekend Weather Timeline): 853x404 ??371x299
2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] 銝剜?閬? (頠?蝛?璁?: 853x734 ??371x542
2025-10-23 08:33:44 | INFO | f1.console | [MDI_RESIZE] ?單?閬? (頠?蝛?璁?: 854x734 ??372x542
2025-10-23 08:33:44 | INFO | f1.console | [WELCOME] 閬???摰? (銝?): 撌虫?371x243 + 撌虫?371x299 + 銝?71x542 + ??72x542
2025-10-23 08:33:44 | INFO | f1.gui.main | Starting API health check (manual=False, base=https://api.f1telemetrystationpro.org)
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] API call successful (latency: 582.32 ms)
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] API progress: 70%
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] API progress: 100%
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] API call successful
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] Detected double-nested structure
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] Loaded 21 drivers, 10 constructors
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] Metadata: season_year=2025, round=19
2025-10-23 08:33:44 | WARNING | f1.console | [UNIVERSAL_LOADER] ?? ?芾酉????憿? 'season_progress'嚗歇撱箇??冽??蔭隞亦雁?摰寞?
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS DEBUG] ????season_progress Analysis 頛??
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS DEBUG] [SEASON_PROGRESS_LOADER] Initialized: year=2025
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS DEBUG] [CALENDAR] Loading: season_calendar_multi_year_20251020T124821Z.json
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS DEBUG] [TRANSFORM] Transformed data: 21 drivers, 10 constructors
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] Transformed data: year=2025, round=19
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_MDI] Data loaded successfully
2025-10-23 08:33:44 | INFO | f1.console | [SEASON_PROGRESS_WIDGET] Data populated successfully
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ??API 隤輻??
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ?梧?  撱園: 572.08ms
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ?? ?豢?皞? cache
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? API ?脣漲: 70%
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? API ?脣漲: 90%
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ??API 隤輻??
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ? ?豢?皞? cache
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?梧?  撱園: 572.08ms
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? 瑼Ｘ葫?圈?撅文?憟?瑽?(CLI JSON)
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? 頛 10 ?航???
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? Metadata: season_year=2025, round=19
2025-10-23 08:33:44 | INFO | f1.console | [TEAM_SLUG_MAP] 頛: team_colors_2025_fastf1_20251019T045138Z.json
2025-10-23 08:33:44 | INFO | f1.console | [TEAM_SLUG_MAP] ??頛 10 ??撠?
2025-10-23 08:33:44 | INFO | f1.console | [TRANSFORM] ??頧? 10 ?航?????
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? 頧?敺?? 10 ?航??? 撟港遢=2025, 頛芣活=19
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?豢?頛摰?
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_WIDGET] 憿蝟餌絞撌脰???(year=2025)
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_WIDGET] Table populated (10 teams)
2025-10-23 08:33:44 | INFO | f1.console | [CONSTRUCTOR_MDI] ?? API ?脣漲: 100%
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ??API 隤輻??
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? API ?脣漲: 70%
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ?梧?  撱園: 590.57ms
2025-10-23 08:33:44 | INFO | f1.console | [API_WORKER] ?? ?豢?皞? cache
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?? API ?脣漲: 90%
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ??API 隤輻??
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ? ?豢?皞? cache
2025-10-23 08:33:44 | INFO | f1.console | [DRIVER_MDI] ?梧?  撱園: 590.57ms
